data,categoria,produto,quantidade,receita
2025-01-31,Casa,Mesa,3,1958.05
2025-01-31,Casa,Sofá,3,5805.15
2025-02-01,Eletrônicos,Notebook,1,3494.5
2025-02-01,Vestuário,Tênis,1,284.5
2025-02-01,Livros,Infantil,5,171.33
2025-02-02,Livros,Infantil,1,39.09
2025-02-02,Eletrônicos,Fone,3,533.19
2025-02-02,Livros,Negócios,2,132.93
2025-02-03,Eletrônicos,Smart TV,2,4195.23
2025-02-03,Vestuário,Jaqueta,4,1217.73
2025-02-04,Casa,Luminária,7,1098.84
2025-02-05,Livros,Infantil,5,198.7
2025-02-06,Casa,Sofá,6,10434.95
2025-02-06,Livros,Técnico,5,406.82
2025-02-07,Vestuário,Jeans,3,383.0
2025-02-07,Livros,Infantil,2,64.5
2025-02-07,Eletrônicos,Smart TV,7,17666.24
2025-02-08,Eletrônicos,Fone,6,1111.68
2025-02-10,Livros,Ficção,2,88.85
2025-02-10,Eletrônicos,Smartphone,5,8196.15
2025-02-10,Livros,Técnico,3,261.1
2025-02-11,Eletrônicos,Smart TV,6,14082.79
2025-02-12,Vestuário,Tênis,2,461.73
2025-02-13,Livros,Infantil,1,32.85
2025-02-13,Livros,Técnico,5,419.56
2025-02-13,Casa,Sofá,2,3291.53
2025-02-14,Livros,Técnico,3,288.38
2025-02-14,Livros,Negócios,7,480.97
2025-02-14,Casa,Luminária,6,919.31
2025-02-14,Casa,Sofá,4,6771.0
2025-02-15,Eletrônicos,Smartphone,7,10008.25
2025-02-15,Eletrônicos,Smart TV,1,2279.7
2025-02-15,Casa,Cortina,3,634.97
2025-02-15,Vestuário,Camiseta,5,260.93
2025-02-15,Casa,Luminária,4,581.93
2025-02-16,Livros,Infantil,6,193.96
2025-02-17,Livros,Ficção,3,127.83
2025-02-18,Vestuário,Camiseta,4,229.17
2025-02-18,Eletrônicos,Smartphone,7,11958.83
2025-02-18,Vestuário,Jeans,4,447.35
2025-02-18,Vestuário,Tênis,4,1131.05
2025-02-18,Livros,Negócios,5,297.75
2025-02-22,Livros,Infantil,1,31.95
2025-02-22,Casa,Cortina,7,1487.78
2025-02-22,Vestuário,Tênis,3,782.88
2025-02-23,Casa,Luminária,6,1020.68
2025-02-24,Casa,Luminária,4,595.59
2025-02-24,Livros,Ficção,1,44.22
2025-02-25,Vestuário,Camiseta,7,364.84
2025-02-26,Vestuário,Camiseta,3,151.56
2025-02-26,Casa,Mesa,1,765.71
2025-02-27,Eletrônicos,Fone,6,1141.54
2025-03-01,Livros,Negócios,4,224.43
2025-03-01,Vestuário,Tênis,2,555.01
2025-03-02,Livros,Técnico,5,516.94
2025-03-03,Livros,Infantil,6,220.04
2025-03-03,Vestuário,Camiseta,2,102.91
2025-03-03,Casa,Sofá,4,7229.18
2025-03-06,Livros,Negócios,1,55.7
2025-03-06,Vestuário,Jaqueta,6,1897.32
2025-03-06,Livros,Ficção,1,48.4
2025-03-06,Livros,Infantil,1,35.05
2025-03-07,Livros,Técnico,5,467.34
2025-03-07,Casa,Cortina,2,414.47
2025-03-07,Casa,Mesa,1,723.12
2025-03-07,Vestuário,Camiseta,1,49.59
2025-03-08,Livros,Negócios,1,61.57
2025-03-09,Eletrônicos,Smart TV,1,2038.04
2025-03-09,Vestuário,Jaqueta,3,823.37
2025-03-09,Livros,Negócios,3,162.52
2025-03-09,Livros,Infantil,3,111.15
2025-03-10,Casa,Cortina,1,217.04
2025-03-10,Casa,Mesa,3,2258.39
2025-03-11,Casa,Sofá,6,10267.01
2025-03-11,Casa,Luminária,6,1032.81
2025-03-11,Casa,Mesa,4,2550.27
2025-03-12,Casa,Luminária,6,954.32
2025-03-12,Casa,Mesa,3,2096.12
2025-03-15,Livros,Ficção,2,83.19
2025-03-15,Casa,Sofá,6,10454.93
2025-03-16,Eletrônicos,Smart TV,1,2357.2
2025-03-16,Livros,Ficção,4,187.72
2025-03-17,Casa,Mesa,7,5239.68
2025-03-17,Livros,Infantil,3,108.27
2025-03-18,Livros,Negócios,6,341.86
2025-03-18,Vestuário,Camiseta,2,108.71
2025-03-19,Livros,Infantil,5,168.01
2025-03-19,Casa,Mesa,7,4520.39
2025-03-19,Vestuário,Jeans,7,948.36
2025-03-19,Casa,Luminária,6,872.37
2025-03-20,Eletrônicos,Smart TV,2,4522.09
2025-03-21,Eletrônicos,Fone,6,1011.16
2025-03-22,Eletrônicos,Smart TV,3,7526.3
2025-03-22,Eletrônicos,Notebook,5,15491.73
2025-03-22,Livros,Ficção,7,324.3
2025-03-23,Casa,Sofá,5,9400.62
2025-03-23,Vestuário,Tênis,5,1156.91
2025-03-23,Eletrônicos,Smart TV,3,6878.77
2025-03-24,Vestuário,Jaqueta,2,630.92
2025-03-24,Vestuário,Jaqueta,7,2196.78
2025-03-25,Casa,Luminária,2,309.57
2025-03-25,Vestuário,Camiseta,6,273.86
2025-03-26,Casa,Cortina,3,624.49
2025-03-26,Casa,Luminária,3,457.84
2025-03-26,Casa,Luminária,1,164.05
2025-03-26,Vestuário,Jaqueta,6,2042.67
2025-03-26,Casa,Sofá,3,5341.49
2025-03-27,Livros,Infantil,1,33.15
2025-03-27,Livros,Ficção,4,194.29
2025-03-27,Casa,Sofá,2,3955.8
2025-03-27,Casa,Cortina,5,931.09
2025-03-28,Vestuário,Jaqueta,2,597.12
2025-03-29,Livros,Infantil,6,203.83
2025-03-29,Eletrônicos,Smartphone,7,11541.5
2025-03-29,Casa,Mesa,2,1396.94
2025-03-29,Vestuário,Jaqueta,7,2193.76
2025-03-30,Vestuário,Tênis,4,1123.02
2025-03-30,Vestuário,Tênis,1,226.24
2025-03-31,Casa,Luminária,3,498.07
2025-03-31,Casa,Luminária,5,680.67
2025-04-02,Casa,Mesa,4,3120.26
2025-04-02,Eletrônicos,Smartphone,4,6784.77
2025-04-02,Vestuário,Jaqueta,7,2069.31
2025-04-02,Vestuário,Jaqueta,2,567.46
2025-04-03,Vestuário,Jaqueta,4,1334.91
2025-04-03,Casa,Mesa,1,703.1
2025-04-03,Eletrônicos,Notebook,7,24855.99
2025-04-03,Eletrônicos,Smart TV,1,2086.35
2025-04-04,Eletrônicos,Fone,6,1239.58
2025-04-04,Eletrônicos,Smartphone,6,8225.4
2025-04-04,Vestuário,Tênis,5,1272.42
2025-04-04,Casa,Sofá,1,2059.3
2025-04-05,Eletrônicos,Fone,4,766.17
2025-04-05,Casa,Luminária,1,142.28
2025-04-05,Eletrônicos,Smart TV,2,4231.6
2025-04-06,Vestuário,Camiseta,5,267.83
2025-04-06,Livros,Infantil,2,68.93
2025-04-06,Casa,Luminária,1,168.14
2025-04-06,Casa,Sofá,2,3814.66
2025-04-07,Eletrônicos,Notebook,3,10191.01
2025-04-08,Casa,Cortina,6,1276.84
2025-04-09,Casa,Luminária,3,439.67
2025-04-11,Livros,Técnico,5,516.69
2025-04-13,Livros,Técnico,5,467.44
2025-04-13,Vestuário,Camiseta,6,297.82
2025-04-13,Livros,Técnico,7,620.6
2025-04-14,Vestuário,Jeans,1,112.42
2025-04-14,Casa,Luminária,1,138.03
2025-04-14,Eletrônicos,Smartphone,2,3341.0
2025-04-14,Eletrônicos,Notebook,5,15743.49
2025-04-14,Casa,Mesa,7,5327.75
2025-04-15,Eletrônicos,Fone,4,746.51
2025-04-15,Eletrônicos,Smart TV,4,9744.53
2025-04-16,Casa,Luminária,6,961.58
2025-04-16,Vestuário,Jaqueta,2,671.35
2025-04-17,Vestuário,Camiseta,1,56.37
2025-04-17,Vestuário,Jaqueta,2,636.66
2025-04-18,Livros,Infantil,1,37.34
2025-04-18,Vestuário,Jaqueta,1,282.52
2025-04-19,Livros,Infantil,6,238.27
2025-04-19,Livros,Técnico,2,197.75
2025-04-20,Eletrônicos,Notebook,6,21877.02
2025-04-20,Eletrônicos,Smartphone,6,8606.93
2025-04-21,Casa,Sofá,3,5910.59
2025-04-22,Casa,Cortina,1,214.86
2025-04-22,Livros,Técnico,4,407.82
2025-04-23,Livros,Negócios,1,67.97
2025-04-23,Vestuário,Jeans,2,257.81
2025-04-23,Vestuário,Jeans,1,117.22
2025-04-23,Casa,Mesa,4,2877.39
2025-04-24,Eletrônicos,Smartphone,2,2852.81
2025-04-24,Vestuário,Tênis,3,716.39
2025-04-24,Casa,Cortina,5,923.81
2025-04-25,Casa,Sofá,2,3294.58
2025-04-25,Vestuário,Camiseta,2,104.14
2025-04-26,Casa,Luminária,1,157.72
2025-04-26,Livros,Técnico,1,92.93
2025-04-28,Livros,Negócios,6,403.63
2025-04-28,Livros,Infantil,7,277.39
2025-04-29,Eletrônicos,Notebook,6,21658.81
2025-04-30,Vestuário,Tênis,6,1561.31
2025-05-01,Livros,Técnico,7,590.76
2025-05-01,Livros,Infantil,1,31.7
2025-05-02,Eletrônicos,Notebook,6,17732.94
2025-05-02,Casa,Sofá,3,5751.48
2025-05-02,Casa,Luminária,2,275.56
2025-05-03,Vestuário,Jeans,2,222.41
2025-05-03,Eletrônicos,Smartphone,1,1613.44
2025-05-05,Casa,Sofá,1,2050.28
2025-05-05,Eletrônicos,Smartphone,2,2750.93
2025-05-06,Livros,Técnico,3,251.58
2025-05-06,Livros,Técnico,5,425.54
2025-05-09,Vestuário,Camiseta,6,323.27
2025-05-09,Casa,Mesa,2,1395.16
2025-05-09,Livros,Infantil,2,63.54
2025-05-10,Livros,Técnico,5,433.17
2025-05-11,Livros,Infantil,2,78.86
2025-05-11,Casa,Cortina,6,1299.4
2025-05-11,Casa,Cortina,1,201.51
2025-05-11,Vestuário,Jaqueta,1,323.37
2025-05-11,Eletrônicos,Fone,7,1192.48
2025-05-12,Casa,Cortina,6,1221.7
2025-05-12,Casa,Cortina,7,1355.7
2025-05-12,Casa,Sofá,7,11906.74
2025-05-13,Eletrônicos,Notebook,6,22002.7
2025-05-13,Casa,Mesa,1,765.44
2025-05-15,Livros,Infantil,4,149.28
2025-05-15,Livros,Técnico,7,619.33
2025-05-15,Vestuário,Camiseta,2,108.21
2025-05-15,Vestuário,Camiseta,2,96.15
2025-05-15,Casa,Mesa,5,3342.01
2025-05-16,Casa,Cortina,1,199.48
2025-05-17,Vestuário,Jaqueta,4,1334.6
2025-05-17,Eletrônicos,Smart TV,2,5027.73
2025-05-17,Vestuário,Camiseta,5,244.3
2025-05-17,Livros,Negócios,3,168.08
2025-05-18,Eletrônicos,Notebook,2,6282.52
2025-05-18,Livros,Ficção,1,50.08
2025-05-18,Casa,Luminária,6,892.97
2025-05-18,Vestuário,Jeans,6,663.11
2025-05-19,Vestuário,Tênis,3,717.36
2025-05-19,Livros,Infantil,1,37.61
2025-05-20,Vestuário,Jeans,3,383.57
2025-05-21,Casa,Sofá,2,3828.86
2025-05-22,Livros,Ficção,6,309.55
2025-05-22,Eletrônicos,Smart TV,2,4618.58
2025-05-23,Vestuário,Jeans,5,642.69
2025-05-23,Vestuário,Jeans,6,807.77
2025-05-25,Vestuário,Tênis,1,284.41
2025-05-25,Livros,Técnico,4,371.73
2025-05-25,Livros,Técnico,6,562.23
2025-05-25,Eletrônicos,Smart TV,1,2001.14
2025-05-28,Vestuário,Tênis,7,1752.3
2025-05-28,Casa,Sofá,4,6795.32
2025-05-28,Vestuário,Tênis,1,270.22
2025-05-29,Eletrônicos,Smartphone,2,3014.57
2025-05-30,Livros,Infantil,6,240.74
2025-05-30,Eletrônicos,Smart TV,2,4263.95
2025-05-30,Vestuário,Jaqueta,3,941.15
2025-05-30,Livros,Ficção,6,245.4
2025-05-30,Livros,Técnico,5,469.42
2025-06-01,Eletrônicos,Smartphone,4,5777.08
2025-06-02,Casa,Cortina,1,224.62
2025-06-03,Casa,Mesa,5,3951.73
2025-06-06,Casa,Luminária,5,826.47
2025-06-07,Livros,Técnico,6,515.82
2025-06-08,Casa,Cortina,1,221.58
2025-06-08,Vestuário,Jeans,7,906.6
2025-06-09,Livros,Negócios,6,364.77
2025-06-09,Vestuário,Camiseta,5,250.6
2025-06-09,Eletrônicos,Smartphone,3,4842.52
2025-06-09,Livros,Negócios,6,367.92
2025-06-10,Casa,Sofá,2,4044.73
2025-06-11,Livros,Infantil,1,40.11
2025-06-11,Vestuário,Camiseta,6,319.44
2025-06-12,Eletrônicos,Fone,4,683.22
2025-06-13,Casa,Mesa,7,5079.08
2025-06-15,Livros,Infantil,7,231.12
2025-06-16,Eletrônicos,Smartphone,5,8238.98
2025-06-16,Vestuário,Tênis,2,524.87
2025-06-16,Vestuário,Tênis,1,232.83
2025-06-16,Livros,Negócios,7,395.77
2025-06-17,Eletrônicos,Notebook,7,22508.48
2025-06-18,Casa,Mesa,6,4790.57
2025-06-18,Casa,Luminária,3,413.44
2025-06-18,Vestuário,Jaqueta,7,2246.04
2025-06-19,Eletrônicos,Notebook,7,25226.97
2025-06-23,Vestuário,Jeans,4,479.43
2025-06-24,Casa,Luminária,2,290.44
2025-06-24,Livros,Ficção,2,97.32
2025-06-24,Eletrônicos,Notebook,7,23319.72
2025-06-25,Livros,Ficção,5,250.78
2025-06-26,Livros,Ficção,3,142.99
2025-06-26,Eletrônicos,Smartphone,2,2945.71
2025-06-27,Vestuário,Jaqueta,4,1080.0
2025-06-27,Livros,Técnico,3,300.54
2025-06-27,Casa,Sofá,4,6871.12
2025-06-30,Vestuário,Jeans,2,227.81
2025-06-30,Casa,Mesa,6,4172.87
2025-07-02,Eletrônicos,Smart TV,1,2482.54
2025-07-02,Vestuário,Jaqueta,3,981.58
2025-07-03,Vestuário,Tênis,5,1145.73
2025-07-03,Vestuário,Tênis,1,278.56
2025-07-04,Vestuário,Jaqueta,2,663.06
2025-07-04,Eletrônicos,Fone,2,406.68
2025-07-05,Eletrônicos,Smartphone,2,3427.56
2025-07-06,Casa,Luminária,4,543.68
2025-07-06,Eletrônicos,Smart TV,4,9488.93
2025-07-09,Vestuário,Tênis,7,1824.41
2025-07-11,Vestuário,Camiseta,5,241.23
2025-07-12,Eletrônicos,Fone,6,1188.97
2025-07-14,Casa,Sofá,6,10615.45
2025-07-15,Casa,Luminária,5,850.81
2025-07-15,Eletrônicos,Smart TV,5,12616.01
2025-07-15,Casa,Luminária,6,973.35
2025-07-15,Livros,Ficção,1,43.65
2025-07-16,Casa,Mesa,6,3999.75
2025-07-17,Livros,Negócios,5,335.54
2025-07-17,Livros,Técnico,2,176.6
2025-07-17,Livros,Infantil,5,169.71
2025-07-19,Livros,Técnico,2,185.1
2025-07-19,Eletrônicos,Fone,4,664.09
2025-07-19,Casa,Sofá,3,5652.31
2025-07-19,Eletrônicos,Smartphone,6,9792.53
2025-07-20,Livros,Ficção,5,220.05
2025-07-20,Eletrônicos,Smart TV,6,12854.36
2025-07-21,Livros,Negócios,1,66.77
2025-07-22,Eletrônicos,Smart TV,2,4930.31
2025-07-22,Eletrônicos,Smartphone,7,11825.62
2025-07-22,Livros,Negócios,3,191.09
2025-07-22,Eletrônicos,Fone,3,595.28
2025-07-22,Livros,Ficção,3,138.29
2025-07-23,Livros,Técnico,4,387.02
2025-07-25,Casa,Cortina,5,990.24
2025-07-27,Vestuário,Jaqueta,6,2048.3
2025-07-27,Casa,Mesa,6,4157.93
2025-07-27,Eletrônicos,Smart TV,3,7067.22
2025-07-27,Casa,Sofá,5,9107.33
2025-07-28,Vestuário,Jaqueta,7,1942.86
2025-07-28,Vestuário,Camiseta,3,143.09
2025-07-29,Livros,Ficção,1,45.01
2025-07-29,Livros,Infantil,7,222.91
2025-07-30,Vestuário,Jeans,6,815.68
2025-07-30,Eletrônicos,Fone,6,1056.44
2025-07-30,Livros,Infantil,4,147.64
2025-07-31,Vestuário,Jeans,1,129.57
2025-07-31,Livros,Ficção,2,88.18
2025-07-31,Casa,Luminária,2,304.52
2025-08-01,Eletrônicos,Smartphone,4,5594.5
2025-08-01,Eletrônicos,Smartphone,4,6531.24
2025-08-03,Casa,Sofá,6,9893.59
2025-08-03,Casa,Sofá,1,1949.26
2025-08-03,Vestuário,Tênis,6,1676.39
2025-08-03,Casa,Sofá,4,7916.87
2025-08-03,Eletrônicos,Smartphone,2,2734.97
2025-08-04,Livros,Negócios,6,412.55
2025-08-04,Livros,Ficção,3,154.38
2025-08-05,Casa,Cortina,1,187.94
2025-08-07,Livros,Infantil,3,107.18
2025-08-08,Eletrônicos,Smartphone,4,6265.76
2025-08-08,Eletrônicos,Smart TV,2,4348.28
2025-08-09,Eletrônicos,Notebook,2,6720.68
2025-08-10,Eletrônicos,Fone,5,991.62
2025-08-10,Livros,Técnico,5,507.82
2025-08-10,Vestuário,Jaqueta,2,624.62
2025-08-12,Vestuário,Camiseta,5,233.16
2025-08-12,Eletrônicos,Notebook,2,6837.48
2025-08-12,Vestuário,Jeans,7,807.01
2025-08-12,Vestuário,Jeans,4,472.05
2025-08-14,Livros,Ficção,6,298.31
2025-08-14,Casa,Luminária,5,823.2
2025-08-15,Vestuário,Camiseta,1,55.49
2025-08-15,Vestuário,Tênis,1,271.83
2025-08-15,Vestuário,Jeans,6,784.14
2025-08-15,Livros,Ficção,2,82.07
2025-08-18,Vestuário,Jeans,3,353.19
2025-08-18,Livros,Técnico,6,569.63
2025-08-18,Eletrônicos,Fone,5,961.84
2025-08-19,Casa,Sofá,5,8398.9
2025-08-23,Vestuário,Jeans,1,114.44
2025-08-24,Casa,Mesa,2,1539.35
2025-08-24,Casa,Luminária,6,893.45
2025-08-24,Casa,Luminária,5,818.14
2025-08-24,Livros,Ficção,7,299.69
2025-08-24,Livros,Negócios,2,130.77
2025-08-24,Eletrônicos,Smartphone,3,5050.15
2025-08-26,Livros,Técnico,4,397.57
2025-08-26,Eletrônicos,Smart TV,6,14510.98
2025-08-27,Eletrônicos,Smartphone,3,4888.42
2025-08-27,Livros,Negócios,4,216.66
2025-08-28,Livros,Negócios,3,193.47
2025-08-28,Casa,Mesa,2,1260.59
2025-08-29,Vestuário,Camiseta,7,324.06
2025-08-29,Livros,Infantil,4,132.26
2025-08-29,Eletrônicos,Notebook,4,13058.54
2025-08-29,Casa,Cortina,7,1511.28
2025-08-29,Vestuário,Jaqueta,1,333.82
2025-08-29,Vestuário,Tênis,2,566.75
2025-08-29,Eletrônicos,Fone,6,1197.65
2025-08-29,Casa,Cortina,4,780.29
2025-08-30,Livros,Infantil,3,116.07
2025-08-30,Livros,Técnico,5,451.34
2025-08-30,Livros,Negócios,7,469.0
2025-09-02,Eletrônicos,Smartphone,7,11051.95
2025-09-04,Casa,Cortina,3,574.64
2025-09-04,Vestuário,Jeans,7,868.98
2025-09-04,Casa,Luminária,1,140.7
2025-09-05,Casa,Mesa,7,4878.58
2025-09-05,Eletrônicos,Smart TV,5,10674.27
2025-09-06,Casa,Cortina,7,1528.77
2025-09-07,Eletrônicos,Notebook,7,25589.83
2025-09-08,Livros,Ficção,1,44.15
2025-09-08,Casa,Sofá,3,4907.62
2025-09-08,Livros,Negócios,5,318.14
2025-09-08,Livros,Ficção,5,233.85
2025-09-09,Livros,Ficção,7,351.17
2025-09-09,Eletrônicos,Fone,5,985.05
2025-09-10,Casa,Cortina,5,902.24
2025-09-10,Livros,Infantil,6,228.4
2025-09-12,Eletrônicos,Smart TV,2,3999.08
2025-09-13,Eletrônicos,Smartphone,3,4093.91
2025-09-14,Casa,Cortina,2,372.81
2025-09-15,Livros,Negócios,3,200.94
2025-09-16,Casa,Mesa,5,3826.74
2025-09-16,Casa,Mesa,3,1945.28
2025-09-16,Eletrônicos,Smartphone,1,1449.69
2025-09-18,Vestuário,Tênis,2,571.7
2025-09-18,Casa,Sofá,4,7319.78
2025-09-19,Livros,Ficção,3,146.53
2025-09-19,Livros,Ficção,4,196.43
2025-09-19,Casa,Sofá,6,10405.75
2025-09-19,Vestuário,Camiseta,4,192.22
2025-09-19,Livros,Técnico,7,687.29
2025-09-19,Vestuário,Jeans,5,557.67
2025-09-20,Vestuário,Camiseta,4,212.04
2025-09-20,Eletrônicos,Smartphone,1,1578.98
2025-09-20,Livros,Técnico,6,536.6
2025-09-21,Casa,Luminária,4,547.01
2025-09-21,Vestuário,Jaqueta,3,987.11
2025-09-22,Casa,Luminária,6,869.74
2025-09-22,Casa,Sofá,2,3836.07
2025-09-22,Casa,Cortina,7,1428.32
2025-09-23,Eletrônicos,Smart TV,7,15193.52
2025-09-24,Vestuário,Jeans,1,136.8
2025-09-26,Vestuário,Jeans,1,123.35
2025-09-26,Vestuário,Jeans,2,253.45
2025-09-27,Casa,Sofá,5,8698.27
2025-09-27,Eletrônicos,Notebook,7,22590.08
2025-09-27,Livros,Ficção,7,349.16
2025-09-27,Vestuário,Jeans,2,262.86
2025-09-28,Casa,Mesa,6,4674.3
2025-09-28,Vestuário,Camiseta,1,47.75
2025-09-29,Eletrônicos,Fone,4,691.63
2025-09-29,Vestuário,Camiseta,2,108.57
2025-09-30,Eletrônicos,Notebook,7,21477.72
2025-09-30,Livros,Negócios,2,122.43
2025-10-01,Vestuário,Camiseta,4,182.9
2025-10-01,Casa,Mesa,5,3817.6
2025-10-02,Casa,Luminária,4,576.47
2025-10-03,Livros,Infantil,4,156.95
2025-10-04,Livros,Negócios,5,289.84
2025-10-04,Vestuário,Camiseta,3,144.14
2025-10-05,Vestuário,Jeans,7,891.85
2025-10-05,Vestuário,Camiseta,2,101.69
2025-10-05,Livros,Ficção,6,244.65
2025-10-07,Vestuário,Jaqueta,2,601.3
2025-10-08,Livros,Negócios,3,181.37
2025-10-09,Vestuário,Camiseta,5,277.76
2025-10-09,Livros,Técnico,6,563.98
2025-10-09,Livros,Técnico,2,197.92
2025-10-09,Vestuário,Jeans,5,550.94
2025-10-09,Vestuário,Jeans,7,766.13
2025-10-10,Vestuário,Jeans,2,274.91
2025-10-10,Casa,Cortina,2,447.95
2025-10-10,Eletrônicos,Smartphone,2,3011.18
2025-10-10,Casa,Sofá,4,7929.99
2025-10-10,Livros,Ficção,4,177.38
2025-10-11,Livros,Negócios,3,205.0
2025-10-11,Casa,Mesa,1,656.09
2025-10-14,Vestuário,Camiseta,2,97.45
2025-10-14,Livros,Ficção,5,247.31
2025-10-14,Vestuário,Tênis,3,842.55
2025-10-15,Eletrônicos,Fone,2,379.77
2025-10-15,Casa,Luminária,4,571.1
2025-10-15,Vestuário,Tênis,7,1992.52
2025-10-16,Livros,Técnico,3,310.1
2025-10-16,Casa,Luminária,2,329.81
2025-10-16,Casa,Cortina,7,1431.91
2025-10-16,Casa,Luminária,5,816.92
2025-10-17,Eletrônicos,Smart TV,2,4070.19
2025-10-18,Eletrônicos,Smartphone,1,1610.44
2025-10-19,Livros,Técnico,7,719.8
2025-10-19,Casa,Luminária,5,689.94
2025-10-19,Livros,Ficção,2,102.11
2025-10-19,Casa,Cortina,4,764.53
2025-10-20,Eletrônicos,Notebook,1,3271.8
2025-10-20,Livros,Ficção,4,202.18
2025-10-21,Livros,Técnico,7,666.02
2025-10-21,Livros,Infantil,2,64.51
2025-10-21,Casa,Mesa,4,2899.84
2025-10-21,Casa,Cortina,6,1295.6
2025-10-22,Casa,Sofá,5,9847.88
2025-10-25,Eletrônicos,Smartphone,1,1615.71
2025-10-25,Vestuário,Tênis,1,238.37
2025-10-26,Casa,Sofá,2,4033.19
2025-10-27,Vestuário,Tênis,2,476.61
2025-10-27,Livros,Negócios,7,464.7
2025-10-27,Eletrônicos,Fone,1,199.73
2025-10-27,Casa,Cortina,4,843.0
2025-10-27,Vestuário,Jeans,3,397.72
2025-10-28,Vestuário,Tênis,3,829.86
2025-10-28,Vestuário,Jaqueta,3,912.02
2025-10-28,Casa,Cortina,7,1273.86
2025-10-29,Vestuário,Camiseta,7,370.45
2025-10-29,Vestuário,Jaqueta,6,1844.31
2025-10-30,Eletrônicos,Fone,6,1140.78
2025-10-31,Vestuário,Camiseta,6,290.43
2025-11-01,Livros,Infantil,6,193.78
2025-11-01,Casa,Sofá,7,11690.52
2025-11-01,Casa,Luminária,7,1093.89
2025-11-02,Vestuário,Camiseta,6,324.91
2025-11-03,Eletrônicos,Smart TV,1,2033.69
2025-11-03,Casa,Sofá,5,9724.94
2025-11-03,Eletrônicos,Fone,1,204.17
2025-11-03,Livros,Ficção,3,131.23
2025-11-04,Casa,Cortina,6,1366.58
2025-11-04,Vestuário,Jeans,2,249.62
2025-11-05,Casa,Luminária,6,1032.82
2025-11-05,Livros,Técnico,1,85.21
2025-11-06,Eletrônicos,Smart TV,2,5057.44
2025-11-07,Casa,Luminária,3,432.21
2025-11-07,Casa,Sofá,7,13674.99
2025-11-08,Vestuário,Tênis,5,1240.46
2025-11-09,Eletrônicos,Notebook,6,19332.98
2025-11-09,Casa,Mesa,1,689.24
2025-11-11,Vestuário,Jeans,2,249.09
2025-11-11,Vestuário,Jaqueta,3,1000.2
2025-11-11,Vestuário,Jaqueta,6,2006.89
2025-11-11,Livros,Ficção,1,50.42
2025-11-12,Eletrônicos,Smart TV,5,11461.54
2025-11-12,Eletrônicos,Smartphone,6,10246.48
2025-11-14,Eletrônicos,Smart TV,3,6396.25
2025-11-15,Livros,Técnico,2,162.9
2025-11-17,Vestuário,Jaqueta,2,626.06
