id_usuario,plano,horas_assistidas,score_satisfacao,cancelou_assinatura,dispositivo_principal,mes_referencia
262,Premium,40.5,8,Não,Smart TV,2024-06
263,Básico,19.2,9,Não,Tablet,2024-06
264,Padrão,57.3,7,Não,Smart TV,2024-06
265,Padrão,57.8,8,Não,Smart TV,2024-06
266,Básico,36.6,6,Não,Smart TV,2024-06
267,Padrão,33.8,4,Não,Smart TV,2024-06
268,Padrão,39.1,8,Não,Smartphone,2024-06
269,Premium,53.6,5,Não,Smart TV,2024-06
270,Padrão,14.3,8,Não,Smartphone,2024-06
271,Básico,27.3,4,Não,Smart TV,2024-06
272,Básico,27.5,4,Não,Smart TV,2024-06
273,Padrão,43.1,7,Não,Smartphone,2024-06
274,Básico,21.0,5,Não,Smart TV,2024-06
275,Básico,19.6,6,Sim,Notebook,2024-06
276,Básico,14.8,7,Sim,Tablet,2024-06
277,Básico,16.6,8,Não,Tablet,2024-06
278,Básico,17.1,5,Não,Smart TV,2024-06
279,Básico,10.1,5,Não,Tablet,2024-06
280,Premium,70.4,8,Não,Smartphone,2024-06
281,Básico,42.2,4,Sim,Smart TV,2024-06
282,Padrão,51.6,7,Não,Tablet,2024-06
283,Básico,25.3,6,Sim,Smartphone,2024-06
284,Básico,8.3,7,Não,Notebook,2024-06
285,Padrão,33.8,8,Não,Smartphone,2024-06
286,Básico,24.2,5,Sim,Smartphone,2024-06
287,Premium,55.5,7,Não,Notebook,2024-06
288,Básico,22.2,6,Não,Smart TV,2024-06
289,Padrão,33.8,10,Não,Smart TV,2024-06
290,Premium,64.3,6,Sim,Smart TV,2024-06
291,Padrão,48.2,8,Não,Smart TV,2024-06
292,Básico,17.6,7,Não,Smart TV,2024-06
293,Padrão,63.9,9,Não,Smartphone,2024-06
294,Básico,36.6,9,Não,Smartphone,2024-06
295,Padrão,47.7,7,Não,Smartphone,2024-06
296,Premium,68.7,7,Não,Smartphone,2024-06
297,Básico,12.9,9,Não,Smartphone,2024-06
298,Premium,66.0,6,Não,Smart TV,2024-06
299,Premium,58.1,9,Sim,Smartphone,2024-06
300,Premium,56.6,7,Não,Smart TV,2024-06
